"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","RDataPath","Tags"
"archetypes","PACMOS data resource: archetypes","3.22",NA,"TXT","https://github.com/lipikakalson/PACMOSData","1.0","Homo sapiens","9606",NA,"LIPIKA KALSON","lipikasingh487@gmail.com",NA,"FilePath","PACMOSData/archetypes.txt","PACMOS,MOFA,multi-omics,cancer"
"D_alt_MOFA","PACMOS data resource: D_alt_MOFA","3.22",NA,"RData","https://github.com/lipikakalson/PACMOSData","1.0","Homo sapiens","9606",NA,"LIPIKA KALSON","lipikasingh487@gmail.com","list","Rda","PACMOSData/D_alt_MOFA.rda","PACMOS,MOFA,multi-omics,cancer"
"D_cnv_MOFA","PACMOS data resource: D_cnv_MOFA","3.22",NA,"RData","https://github.com/lipikakalson/PACMOSData","1.0","Homo sapiens","9606",NA,"LIPIKA KALSON","lipikasingh487@gmail.com","list","Rda","PACMOSData/D_cnv_MOFA.rda","PACMOS,MOFA,multi-omics,cancer"
"D_exprB_MOFA","PACMOS data resource: D_exprB_MOFA","3.22",NA,"RData","https://github.com/lipikakalson/PACMOSData","1.0","Homo sapiens","9606",NA,"LIPIKA KALSON","lipikasingh487@gmail.com","list","Rda","PACMOSData/D_exprB_MOFA.rda","PACMOS,MOFA,multi-omics,cancer"
"D_loh_MOFA","PACMOS data resource: D_loh_MOFA","3.22",NA,"RData","https://github.com/lipikakalson/PACMOSData","1.0","Homo sapiens","9606",NA,"LIPIKA KALSON","lipikasingh487@gmail.com","list","Rda","PACMOSData/D_loh_MOFA.rda","PACMOS,MOFA,multi-omics,cancer"
"D_met.bodB_MOFA","PACMOS data resource: D_met.bodB_MOFA","3.22",NA,"RData","https://github.com/lipikakalson/PACMOSData","1.0","Homo sapiens","9606",NA,"LIPIKA KALSON","lipikasingh487@gmail.com","list","Rda","PACMOSData/D_met.bodB_MOFA.rda","PACMOS,MOFA,multi-omics,cancer"
"D_met.enhB_MOFA","PACMOS data resource: D_met.enhB_MOFA","3.22",NA,"RData","https://github.com/lipikakalson/PACMOSData","1.0","Homo sapiens","9606",NA,"LIPIKA KALSON","lipikasingh487@gmail.com","list","Rda","PACMOSData/D_met.enhB_MOFA.rda","PACMOS,MOFA,multi-omics,cancer"
"D_met.proB_MOFA","PACMOS data resource: D_met.proB_MOFA","3.22",NA,"RData","https://github.com/lipikakalson/PACMOSData","1.0","Homo sapiens","9606",NA,"LIPIKA KALSON","lipikasingh487@gmail.com","list","Rda","PACMOSData/D_met.proB_MOFA.rda","PACMOS,MOFA,multi-omics,cancer"
"Inputs_MOFA","PACMOS data resource: Inputs_MOFA","3.22",NA,"RData","https://github.com/lipikakalson/PACMOSData","1.0","Homo sapiens","9606",NA,"LIPIKA KALSON","lipikasingh487@gmail.com","list","Rda","PACMOSData/Inputs_MOFA.rda","PACMOS,MOFA,multi-omics,cancer"
"lungNEN_LF_K4_with_label","PACMOS data resource: lungNEN_LF_K4_with_label","3.22",NA,"TXT","https://github.com/lipikakalson/PACMOSData","1.0","Homo sapiens","9606",NA,"LIPIKA KALSON","lipikasingh487@gmail.com",NA,"FilePath","PACMOSData/lungNEN_LF_K4_with_label.txt","PACMOS,MOFA,multi-omics,cancer"
"lungNEN_LF_K4_without_label","PACMOS data resource: lungNEN_LF_K4_without_label","3.22",NA,"TXT","https://github.com/lipikakalson/PACMOSData","1.0","Homo sapiens","9606",NA,"LIPIKA KALSON","lipikasingh487@gmail.com",NA,"FilePath","PACMOSData/lungNEN_LF_K4_without_label.txt","PACMOS,MOFA,multi-omics,cancer"
"lungNEN_LFs","PACMOS data resource: lungNEN_LFs","3.22",NA,"TXT","https://github.com/lipikakalson/PACMOSData","1.0","Homo sapiens","9606",NA,"LIPIKA KALSON","lipikasingh487@gmail.com",NA,"FilePath","PACMOSData/lungNEN_LFs.csv","PACMOS,MOFA,multi-omics,cancer"
"lungNEN_sample_label","PACMOS data resource: lungNEN_sample_label","3.22",NA,"TXT","https://github.com/lipikakalson/PACMOSData","1.0","Homo sapiens","9606",NA,"LIPIKA KALSON","lipikasingh487@gmail.com",NA,"FilePath","PACMOSData/lungNEN_sample_label.csv","PACMOS,MOFA,multi-omics,cancer"
"lungNEN_test_expr","PACMOS data resource: lungNEN_test_expr","3.22",NA,"TXT","https://github.com/lipikakalson/PACMOSData","1.0","Homo sapiens","9606",NA,"LIPIKA KALSON","lipikasingh487@gmail.com",NA,"FilePath","PACMOSData/lungNEN_test_expr.csv","PACMOS,MOFA,multi-omics,cancer"
"MESOMICS_latent_factors","PACMOS data resource: MESOMICS_latent_factors","3.22",NA,"TXT","https://github.com/lipikakalson/PACMOSData","1.0","Homo sapiens","9606",NA,"LIPIKA KALSON","lipikasingh487@gmail.com",NA,"FilePath","PACMOSData/MESOMICS_latent_factors.csv","PACMOS,MOFA,multi-omics,cancer"
"MESOMICS_test_expr","PACMOS data resource: MESOMICS_test_expr","3.22",NA,"TXT","https://github.com/lipikakalson/PACMOSData","1.0","Homo sapiens","9606",NA,"LIPIKA KALSON","lipikasingh487@gmail.com",NA,"FilePath","PACMOSData/MESOMICS_test_expr.csv","PACMOS,MOFA,multi-omics,cancer"
